ngram,random_color
0x120] 0,"rgb(74,116,209)"
je 0x4b5f,"rgb(93,106,226)"
eax 0x68,"rgb(85,57,192)"
0x124] 5,"rgb(242,29,38)"
je 0x4c07,"rgb(57,211,232)"
eax 0x67,"rgb(184,217,22)"
je 0x4caf,"rgb(161,209,159)"
eax 0x66,"rgb(179,245,185)"
je 0x4d57,"rgb(236,6,227)"
eax 0x65,"rgb(37,193,205)"
neg eax,"rgb(1,154,119)"
sbb eax,"rgb(191,177,153)"
eax 0x63,"rgb(152,162,202)"
[esi] 0x414978,"rgb(246,84,52)"
je 0x4e2a,"rgb(31,235,83)"
push 0x14,"rgb(29,136,65)"
[ecx] 0x414978,"rgb(97,30,111)"
[esi] 0x414a48,"rgb(232,142,94)"
push 0x412483,"rgb(1,155,231)"
esp 0x1c,"rgb(88,20,249)"
push 0x414990,"rgb(64,61,241)"
je 0x4fd6,"rgb(155,177,21)"
je 0x4fff,"rgb(122,217,236)"
[esi] 0x414a3c,"rgb(93,178,199)"
push 0x4124a0,"rgb(74,142,100)"
je 0x5056,"rgb(41,132,108)"
call 0x106f1,"rgb(246,98,227)"
call 0x105e5,"rgb(105,65,58)"
je 0x508c,"rgb(162,173,113)"
push 8,"rgb(156,246,49)"
push 0x4124c0,"rgb(118,216,52)"
4] -1,"rgb(66,20,42)"
[esi] 0x414a54,"rgb(0,254,248)"
je 0x5112,"rgb(252,13,161)"
call 0x106bf,"rgb(137,117,50)"
eax -1,"rgb(32,157,217)"
je 0x5104,"rgb(222,190,156)"
ptr [0x414110],"rgb(226,132,154)"
je 0x5142,"rgb(114,92,210)"
je 0x516b,"rgb(4,58,236)"
call 0x50a0,"rgb(85,7,149)"
je 0x51ac,"rgb(13,216,56)"
push 0x2c,"rgb(136,48,184)"
[ecx] 0x414980,"rgb(235,35,221)"
je 0x51d4,"rgb(135,5,166)"
[esi] 0x414980,"rgb(70,83,63)"
je 0x51fa,"rgb(16,70,213)"
je 0x520b,"rgb(192,214,44)"
je 0x522e,"rgb(54,98,99)"
push 0x412505,"rgb(134,43,60)"
esp 0x64,"rgb(122,95,172)"
0x54] eax,"rgb(216,61,114)"
0x48] xmm0,"rgb(216,31,1)"
je 0x54b2,"rgb(101,70,205)"
jne 0x548d,"rgb(199,186,219)"
eax 0x3e5,"rgb(64,238,128)"
jne 0x5460,"rgb(27,108,79)"
ptr [0x414078],"rgb(224,16,172)"
je 0x53ec,"rgb(1,136,164)"
ptr [0x414130],"rgb(97,116,251)"
je 0x53d8,"rgb(53,98,191)"
je 0x548d,"rgb(52,194,21)"
ptr [0x414134],"rgb(41,39,133)"
ptr [0x41412c],"rgb(111,30,106)"
jne 0x5392,"rgb(250,99,198)"
je 0x540f,"rgb(18,85,175)"
je 0x54e1,"rgb(69,233,160)"
jmp 0x5350,"rgb(27,190,117)"
ptr [0x414084],"rgb(57,91,216)"
push 0x4149d0,"rgb(58,2,171)"
call 0x4e90,"rgb(253,99,1)"
push 0x417248,"rgb(210,234,127)"
jmp 0x54ee,"rgb(195,98,13)"
push 0x4149e4,"rgb(117,221,235)"
push 0x4149b4,"rgb(2,230,216)"
call 0x4f20,"rgb(44,26,219)"
push 0x417284,"rgb(233,224,82)"
push 0x412555,"rgb(123,104,62)"
esp 0x60,"rgb(253,197,165)"
0x2c] xmm0,"rgb(43,178,87)"
je 0x570d,"rgb(128,12,173)"
jne 0x56e8,"rgb(157,236,193)"
jne 0x56bb,"rgb(147,223,83)"
je 0x566a,"rgb(51,49,20)"
je 0x573c,"rgb(132,124,78)"
jmp 0x5620,"rgb(90,241,76)"
jmp 0x5749,"rgb(109,52,26)"
push 0x412580,"rgb(29,135,149)"
je 0x57cb,"rgb(24,57,223)"
je 0x57bc,"rgb(61,91,242)"
push 0x4125bd,"rgb(158,91,184)"
esp 0x7c,"rgb(173,109,57)"
je 0x5956,"rgb(207,42,124)"
je 0x596c,"rgb(145,139,92)"
jne 0x58ce,"rgb(104,239,165)"
jne 0x58f3,"rgb(13,158,207)"
je 0x58bb,"rgb(222,36,127)"
jne 0x5876,"rgb(100,124,252)"
jmp 0x5956,"rgb(136,77,36)"
eax 0xe8,"rgb(198,201,166)"
je 0x593e,"rgb(168,71,164)"
eax 0xe9,"rgb(214,139,113)"
push 0x4149f0,"rgb(81,36,145)"
- 0x88],"rgb(60,61,234)"
jmp 0x5966,"rgb(17,241,193)"
8] 0xfffe00ff,"rgb(169,19,88)"
call 0x57f0,"rgb(120,91,115)"
8] 0x10000,"rgb(241,164,128)"
push 0x41260d,"rgb(207,115,9)"
esp 0x50,"rgb(36,139,228)"
call 0x52d0,"rgb(5,238,150)"
0x18] 0xfffe00ff,"rgb(145,50,193)"
jne 0x5b92,"rgb(226,23,24)"
0x14] 0x10000,"rgb(245,58,217)"
jne 0x5bc4,"rgb(44,124,205)"
- 1],"rgb(186,22,181)"
eax 0x7ffffffd,"rgb(29,244,109)"
ja 0x5b74,"rgb(114,16,111)"
call 0x11221,"rgb(107,51,47)"
esi] 0,"rgb(149,40,107)"
je 0x5b51,"rgb(12,74,178)"
je 0x5b6b,"rgb(21,161,101)"
push 0x414a04,"rgb(99,100,194)"
push 0x414a1c,"rgb(212,152,231)"
call 0x55a0,"rgb(41,202,99)"
jne 0x5d52,"rgb(229,88,221)"
jne 0x5d84,"rgb(29,229,251)"
ja 0x5d34,"rgb(245,139,85)"
je 0x5d11,"rgb(37,151,25)"
je 0x5d2b,"rgb(203,29,217)"
push 0x412655,"rgb(188,155,110)"
esp 0x54,"rgb(117,149,78)"
[eax] 0,"rgb(84,114,54)"
jne 0x5ef5,"rgb(144,53,43)"
0x3c] xmm0,"rgb(31,115,215)"
0x3c] 0x414978,"rgb(70,105,189)"
0x34] eax,"rgb(29,111,247)"
0x28] 0x414978,"rgb(54,130,43)"
jmp 0x5e00,"rgb(0,128,191)"
call 0x5760,"rgb(205,217,129)"
eax 0x405ef5,"rgb(9,63,118)"
call 0x5230,"rgb(208,141,122)"
call 0x6280,"rgb(145,52,21)"
je 0x5f5c,"rgb(238,147,99)"
push 0x4126cd,"rgb(75,83,154)"
je 0x61f1,"rgb(76,1,82)"
0x24] xmm0,"rgb(72,134,132)"
call 0x10820,"rgb(242,143,18)"
0x68] eax,"rgb(120,77,54)"
0x24] 0x414980,"rgb(116,145,66)"
0x64] 0,"rgb(222,255,215)"
0x60] 0,"rgb(69,159,31)"
0x5c] 0,"rgb(43,91,199)"
call 0xfbe0,"rgb(235,49,189)"
push 0x1000,"rgb(7,113,212)"
push 0xff,"rgb(131,27,206)"
push 0x40000003,"rgb(125,19,212)"
ptr [0x414074],"rgb(191,47,186)"
+ 0x3c],"rgb(119,104,123)"
0x3c] eax,"rgb(72,8,87)"
je 0x60a4,"rgb(165,34,9)"
je 0x60cd,"rgb(57,30,182)"
0x3c] -1,"rgb(66,230,80)"
je 0x61bc,"rgb(145,127,149)"
push 0x414a34,"rgb(28,20,17)"
push 0x100000,"rgb(30,77,212)"
ptr [0x414080],"rgb(170,104,173)"
edi 0x217,"rgb(236,7,143)"
je 0x6226,"rgb(248,2,182)"
edi 0x3e5,"rgb(37,92,150)"
jne 0x623d,"rgb(252,98,52)"
je 0x615d,"rgb(38,6,71)"
jne 0x617d,"rgb(37,12,73)"
jmp 0x6180,"rgb(0,210,68)"
je 0x6000,"rgb(176,16,155)"
je 0x6199,"rgb(91,171,186)"
call esi,"rgb(247,93,138)"
[esi] 0x414988,"rgb(56,244,235)"
je 0x629e,"rgb(227,190,153)"
je 0x62bc,"rgb(170,218,199)"
je 0x62e5,"rgb(160,228,85)"
je 0x630e,"rgb(36,179,4)"
je 0x6337,"rgb(187,83,98)"
je 0x6360,"rgb(200,218,240)"
je 0x637d,"rgb(137,207,57)"
4] edi,"rgb(116,108,153)"
je 0x63db,"rgb(179,80,110)"
[edx] esi,"rgb(113,106,171)"
jbe 0x63c8,"rgb(253,116,236)"
ebx [edx,"rgb(241,110,75)"
je 0x63bf,"rgb(173,145,126)"
inc esi,"rgb(95,198,117)"
add ebx,"rgb(215,79,65)"
ebx 0xc,"rgb(169,154,224)"
jb 0x63a0,"rgb(170,103,113)"
[esi] 0x414e44,"rgb(175,153,76)"
je 0x640d,"rgb(26,249,126)"
je 0x647d,"rgb(233,230,12)"
ret 0,"rgb(21,152,133)"
jne 0x64b5,"rgb(40,138,0)"
jne 0x64b9,"rgb(235,75,32)"
or eax,"rgb(173,87,30)"
eax 0xffffffff,"rgb(38,180,214)"
je 0x6511,"rgb(247,19,50)"
je 0x650a,"rgb(239,136,120)"
jne 0x64cb,"rgb(35,182,134)"
[ecx] dl,"rgb(117,25,151)"
esi 0x104,"rgb(223,230,140)"
ecx [ecx,"rgb(15,224,236)"
1] al,"rgb(22,121,60)"
ebx edx,"rgb(214,240,35)"
test al,"rgb(57,2,156)"
al al,"rgb(123,44,61)"
je 0x6503,"rgb(173,95,192)"
je 0x64ed,"rgb(63,141,9)"
jne 0x64d4,"rgb(220,205,254)"
jne 0x64fb,"rgb(6,204,46)"
[ecx] al,"rgb(80,195,141)"
jne 0x6503,"rgb(149,59,200)"
je 0x6548,"rgb(149,93,26)"
jb 0x6530,"rgb(0,77,229)"
jne 0x6548,"rgb(26,187,75)"
edx 2,"rgb(63,237,130)"
setb al,"rgb(10,53,55)"
ptr [0x41418c],"rgb(94,14,124)"
je 0x6599,"rgb(122,175,26)"
je 0x6596,"rgb(207,225,23)"
je 0x6591,"rgb(116,238,61)"
edi 1,"rgb(27,88,149)"
jne 0x6572,"rgb(228,148,144)"
jne 0x658e,"rgb(47,184,124)"
[edx] 0,"rgb(41,165,92)"
ptr [0x41408c],"rgb(46,209,181)"
jne 0x65c2,"rgb(171,144,226)"
jle 0x65c4,"rgb(248,151,53)"
eax 0x80070000,"rgb(168,252,147)"
[edi] 0x414e24,"rgb(57,171,181)"
call 0x10c51,"rgb(127,61,179)"
je 0x6611,"rgb(141,51,145)"
push 0x58,"rgb(49,123,191)"
push 0x412756,"rgb(253,33,6)"
esp 0x84,"rgb(138,30,246)"
0x64] esi,"rgb(53,75,249)"
jne 0x6bc1,"rgb(182,49,197)"
0x20] 0x80,"rgb(67,151,122)"
call 0xbf20,"rgb(62,92,71)"
eax 0x28,"rgb(131,180,205)"
ptr [0x41422c],"rgb(199,75,178)"
jne 0x696c,"rgb(179,83,161)"
eax 0x38,"rgb(204,226,204)"
0x54] edi,"rgb(114,239,89)"
call 0xf781,"rgb(175,208,20)"
0x60] ecx,"rgb(228,234,47)"
je 0x6785,"rgb(112,202,245)"
[edi] edi,"rgb(243,173,69)"
jne 0x689e,"rgb(167,34,146)"
push 0x414a6c,"rgb(214,203,24)"
ptr [0x414090],"rgb(222,244,193)"
push 0x414a78,"rgb(184,119,198)"
ptr [0x41403c],"rgb(40,52,224)"
push 0x414a88,"rgb(63,8,153)"
push 0x414a9c,"rgb(100,241,22)"
[ecx] 0x414e00,"rgb(218,111,234)"
0x1c] ecx,"rgb(64,67,133)"
push 0x414aac,"rgb(78,103,137)"
push 0x414ac0,"rgb(217,138,155)"
push 0x414acc,"rgb(109,184,132)"
je 0x689e,"rgb(158,177,77)"
js 0x689e,"rgb(11,179,104)"
0x34] 1,"rgb(200,190,117)"
call 0x6d10,"rgb(57,39,96)"
call 0x6ef0,"rgb(244,87,105)"
je 0x6934,"rgb(160,217,215)"
[edx] ecx,"rgb(221,162,230)"
jmp 0x6965,"rgb(122,89,128)"
call 0x6c60,"rgb(15,149,242)"
eax 0x406962,"rgb(141,70,38)"
eax 0x2c,"rgb(42,35,210)"
jne 0x66c5,"rgb(244,205,76)"
push 0x414ae0,"rgb(206,191,238)"
- 0x90],"rgb(150,235,174)"
push 0x414ae4,"rgb(134,65,212)"
- 0x80],"rgb(121,6,115)"
je 0x6a44,"rgb(30,205,248)"
je 0x6a76,"rgb(187,127,168)"
eax 0x50,"rgb(177,235,220)"
- 0x78],"rgb(204,17,69)"
0x78] eax,"rgb(206,214,115)"
0x74] eax,"rgb(72,161,139)"
0x74] 0,"rgb(255,130,192)"
je 0x6b1b,"rgb(4,64,48)"
je 0x6b8b,"rgb(215,94,244)"
je 0x66c5,"rgb(156,25,223)"
jmp 0x66c5,"rgb(69,193,159)"
je 0x6c0f,"rgb(73,33,74)"
je 0x6c38,"rgb(41,47,179)"
je 0x6c8c,"rgb(219,147,155)"
je 0x6c8b,"rgb(138,5,243)"
je 0x6cc3,"rgb(132,124,116)"
+ 0x44],"rgb(134,173,179)"
je 0x6ced,"rgb(173,214,210)"
je 0x6d02,"rgb(144,91,133)"
ptr [0x414094],"rgb(137,157,168)"
push 0x412795,"rgb(218,242,61)"
edi [ebx,"rgb(181,208,87)"
je 0x6d75,"rgb(74,253,34)"
push 0x414aec,"rgb(107,59,219)"
0x30] ecx,"rgb(195,41,17)"
jne 0x6dc4,"rgb(224,87,131)"
jns 0x6dc7,"rgb(9,41,112)"
je 0x6df7,"rgb(168,94,167)"
je 0x6e20,"rgb(43,213,203)"
je 0x6e44,"rgb(7,87,144)"
push 0x414af4,"rgb(90,74,116)"
push 0x15,"rgb(205,189,215)"
push 0x414af8,"rgb(71,56,198)"
0x18] 0xf,"rgb(141,30,52)"
call 0xc140,"rgb(61,213,56)"
push 0x63,"rgb(69,91,53)"
push 0x16,"rgb(231,238,63)"
push 0x414b10,"rgb(122,148,236)"
jb 0x6ecd,"rgb(115,51,76)"
jb 0x6ec3,"rgb(10,146,28)"
jbe 0x6ec3,"rgb(173,96,87)"
push 0x4127fd,"rgb(172,234,160)"
esp 0x3c,"rgb(123,192,248)"
push 0x414b28,"rgb(249,45,217)"
je 0x6f7f,"rgb(53,37,42)"
je 0x6fa8,"rgb(158,67,95)"
je 0x6fb9,"rgb(185,229,62)"
call 0x72c0,"rgb(251,153,38)"
jmp 0x7249,"rgb(141,5,191)"
push 0x414b34,"rgb(65,231,31)"
je 0x700e,"rgb(208,119,150)"
je 0x7037,"rgb(0,115,182)"
je 0x7048,"rgb(173,188,228)"
call 0x9690,"rgb(239,202,172)"
push 0x414b44,"rgb(37,161,197)"
je 0x709d,"rgb(238,154,134)"
je 0x70c6,"rgb(247,4,251)"
je 0x70d7,"rgb(174,102,51)"
call 0x90c0,"rgb(220,43,158)"
push 0x414b5c,"rgb(159,92,184)"
je 0x7174,"rgb(65,254,30)"
je 0x719d,"rgb(229,35,143)"
je 0x71ca,"rgb(140,141,229)"
je 0x71f3,"rgb(216,48,19)"
[edx] edx,"rgb(66,82,168)"
0x18] edx,"rgb(180,170,200)"
je 0x7272,"rgb(8,183,126)"
je 0x729b,"rgb(186,169,130)"
ret 0x1c,"rgb(15,188,118)"
push 0x412975,"rgb(58,137,82)"
eax 0x1b158,"rgb(181,217,190)"
call 0x11ea0,"rgb(131,188,34)"
- 0x1b038],"rgb(35,190,67)"
0x1b038] edi,"rgb(193,240,51)"
- 0x1b058],"rgb(12,105,252)"
0x1b058] esi,"rgb(60,110,161)"
- 0x1b04c],"rgb(202,5,124)"
0x1b04c] 0,"rgb(108,242,162)"
[esi] xmm0,"rgb(12,121,94)"
- 0x1ac30],"rgb(28,80,10)"
0x1ac30] edi,"rgb(93,231,109)"
- 0x1b05c],"rgb(252,45,102)"
0x1b05c] esi,"rgb(232,94,72)"
- 0x1afd0],"rgb(173,203,118)"
0x1afd0] 0,"rgb(65,90,94)"
- 0x1b03c],"rgb(100,2,224)"
0x1b03c] eax,"rgb(118,93,106)"
0x1b04c] eax,"rgb(148,131,79)"
je 0x7386,"rgb(153,19,180)"
jne 0x738d,"rgb(4,141,171)"
0x14] 0x80040102,"rgb(54,172,8)"
push 0xf,"rgb(93,235,83)"
push 0x414b6c,"rgb(179,10,169)"
- 0x1ac4c],"rgb(100,169,93)"
- 0x1ac3c],"rgb(113,223,249)"
0x1ac3c] 0,"rgb(236,140,190)"
- 0x1ac38],"rgb(89,117,66)"
0x1ac38] 0xf,"rgb(150,24,59)"
0x1ac4c] 0,"rgb(233,76,160)"
push 0x414b7c,"rgb(249,211,168)"
- 0x1b0b0],"rgb(78,30,194)"
- 0x1afcc],"rgb(8,7,240)"
0x1afcc] ecx,"rgb(136,19,146)"
- 0x1b11c],"rgb(89,204,33)"
- 0x1b114],"rgb(228,195,113)"
jne 0x7415,"rgb(188,85,74)"
jns 0x7418,"rgb(17,90,115)"
- 0x1b0a0],"rgb(236,183,136)"
0x1b0a0] 0,"rgb(88,186,252)"
je 0x744e,"rgb(124,184,103)"
- 0x1b0a8],"rgb(129,144,220)"
0x1b0a8] 0,"rgb(216,189,229)"
je 0x7480,"rgb(251,253,122)"
je 0x74a7,"rgb(134,39,86)"
- 0x1acec],"rgb(96,205,86)"
- 0x1b0c8],"rgb(141,210,57)"
0x1afcc] eax,"rgb(179,118,43)"
- 0x1b024],"rgb(20,173,162)"
- 0x1b01c],"rgb(149,220,127)"
jne 0x7502,"rgb(7,165,222)"
jns 0x7505,"rgb(146,207,9)"
- 0x1b0b8],"rgb(139,115,200)"
0x1b0b8] 0,"rgb(238,104,242)"
je 0x753b,"rgb(53,128,3)"
- 0x1b0c0],"rgb(184,128,13)"
0x1b0c0] 0,"rgb(114,175,97)"
je 0x756d,"rgb(71,199,121)"
- 0x1b030],"rgb(116,232,0)"
0x1b030] xmm0,"rgb(133,86,0)"
je 0x759f,"rgb(182,91,142)"
- 0x1b054],"rgb(155,210,55)"
0x1b054] eax,"rgb(205,215,21)"
je 0x8ee6,"rgb(129,116,192)"
push 0x2b,"rgb(157,48,190)"
push 0x414b84,"rgb(179,231,227)"
- 0x1afec],"rgb(101,118,139)"
0x1afec] 0,"rgb(166,159,76)"
js 0x8ed4,"rgb(51,175,7)"
push 0x414df0,"rgb(135,238,197)"
js 0x8ea6,"rgb(13,217,84)"
- 0x1afe0],"rgb(2,53,98)"
0x1afe0] 0,"rgb(92,117,144)"
+ 0x4c],"rgb(185,100,27)"
je 0x767d,"rgb(212,62,227)"
eax 0x40380,"rgb(111,255,145)"
js 0x767d,"rgb(180,144,80)"
cmp word,"rgb(218,199,38)"
jne 0x7695,"rgb(205,133,245)"
call 0x6380,"rgb(185,236,88)"
jmp 0x7620,"rgb(150,135,242)"
push 0x11,"rgb(134,38,178)"
push 0x414bb0,"rgb(143,40,26)"
je 0x8eb8,"rgb(184,212,8)"
edi [ebp,"rgb(81,28,36)"
- 0x1afd4],"rgb(248,222,87)"
0x1afd4] 0,"rgb(225,67,115)"
js 0x8e7f,"rgb(44,64,14)"
- 0x1b08c],"rgb(219,186,243)"
push 0x414bc4,"rgb(220,226,53)"
- 0x1acb4],"rgb(11,132,136)"
0x1acb4] xmm0,"rgb(82,57,209)"
- 0x1ad04],"rgb(23,229,127)"
- 0x1acfc],"rgb(145,183,141)"
- 0x1afc8],"rgb(75,8,83)"
0x1afc8] eax,"rgb(26,185,217)"
jne 0x7753,"rgb(202,81,75)"
eax 0x10,"rgb(203,80,166)"
jns 0x775c,"rgb(219,151,217)"
- 0x1b07c],"rgb(72,223,134)"
0x1b07c] 0,"rgb(179,45,133)"
je 0x7792,"rgb(246,126,247)"
- 0x1b084],"rgb(223,17,137)"
0x1b084] 0,"rgb(102,121,207)"
je 0x77c4,"rgb(70,26,98)"
je 0x78ae,"rgb(50,160,209)"
- 0x1acb0],"rgb(113,213,231)"
- 0x1afe4],"rgb(117,233,207)"
- 0x1acf0],"rgb(71,123,175)"
0x1acf0] 0,"rgb(29,26,45)"
0x1afe4] 0,"rgb(190,21,245)"
push 0x414e58,"rgb(76,96,32)"
je 0x78a0,"rgb(171,112,25)"
jne 0x7882,"rgb(179,158,255)"
eax 0xa,"rgb(148,254,49)"
je 0x7882,"rgb(238,44,66)"
0x1acb0] edx,"rgb(229,129,62)"
jb 0x7882,"rgb(243,200,221)"
ja 0x787b,"rgb(62,57,117)"
0x1acb4] eax,"rgb(168,136,155)"
0x14] 0x8004666d,"rgb(232,26,35)"
eax 0x8004010f,"rgb(101,77,81)"
jne 0x78ae,"rgb(15,2,86)"
jl 0x8e63,"rgb(26,205,34)"
- 0x1acf4],"rgb(86,21,213)"
push 0x414e0c,"rgb(138,109,56)"
js 0x8e51,"rgb(228,30,105)"
je 0x8e2f,"rgb(56,60,183)"
0x1acf4] 1,"rgb(35,4,206)"
jne 0x8e2f,"rgb(230,47,226)"
push 0x1f,"rgb(157,122,94)"
push 0x414bd8,"rgb(242,221,218)"
- 0x1afe8],"rgb(39,234,92)"
0x1afe8] ecx,"rgb(57,65,238)"
- 0x1acf8],"rgb(70,123,169)"
0x1afc8] 0,"rgb(110,92,235)"
push 0x10,"rgb(255,17,58)"
0x1acf8] 0,"rgb(101,109,166)"
js 0x8e2f,"rgb(245,249,17)"
push 0x414bf8,"rgb(7,97,130)"
- 0x1afc0],"rgb(242,250,13)"
0x1afc0] 0,"rgb(26,153,192)"
js 0x8e15,"rgb(176,117,220)"
push 0x414c18,"rgb(160,143,131)"
- 0x1aff0],"rgb(229,186,196)"
0x1aff0] 0,"rgb(53,180,222)"
setne al,"rgb(57,200,188)"
js 0x8c0c,"rgb(2,102,19)"
esi esp,"rgb(218,63,63)"
- 0x1afdc],"rgb(190,202,100)"
0x1afdc] esi,"rgb(17,3,129)"
- 0x1b098],"rgb(1,200,219)"
0x1b098] esi,"rgb(131,212,53)"
- 0x1b094],"rgb(104,255,166)"
0x1b094] esi,"rgb(236,225,41)"
0x1b094] 0,"rgb(223,114,68)"
sete al,"rgb(85,76,81)"
call 0xa290,"rgb(211,27,131)"
je 0x8bf4,"rgb(10,92,165)"
push 0x1b,"rgb(171,200,252)"
- 0x1afc4],"rgb(182,30,64)"
0x1afc4] 0,"rgb(56,23,49)"
push 0x414c34,"rgb(175,137,10)"
push 0x414c50,"rgb(65,172,47)"
- 0x1b0e0],"rgb(224,176,211)"
- 0x1b040],"rgb(40,21,230)"
0x1b040] eax,"rgb(201,29,36)"
- 0x1b140],"rgb(82,158,16)"
- 0x1b138],"rgb(47,139,99)"
jne 0x7b0e,"rgb(161,50,160)"
jns 0x7b11,"rgb(171,25,71)"
- 0x1b0d0],"rgb(238,133,82)"
0x1b0d0] 0,"rgb(38,54,147)"
je 0x7b47,"rgb(150,233,32)"
- 0x1b0d8],"rgb(228,80,113)"
0x1b0d8] 0,"rgb(83,251,55)"
je 0x7b79,"rgb(197,139,150)"
je 0x7e4f,"rgb(170,239,203)"
- 0x1ac94],"rgb(23,114,109)"
0x1ac94] xmm0,"rgb(246,97,184)"
0x1ac94] 0,"rgb(55,157,224)"
- 0x1ac84],"rgb(157,211,176)"
0x1ac84] xmm0,"rgb(180,167,214)"
- 0x1ac90],"rgb(196,155,182)"
0x1ac90] 0,"rgb(58,132,80)"
- 0x1ac8c],"rgb(141,129,89)"
0x1ac8c] 0,"rgb(204,253,39)"
- 0x1ac88],"rgb(127,214,162)"
0x1ac88] 0,"rgb(161,127,91)"
0x1ac84] 0,"rgb(101,174,113)"
- 0x1ac80],"rgb(135,121,212)"
0x1ac80] 0,"rgb(155,229,2)"
je 0x7de7,"rgb(147,209,193)"
- 0x1b018],"rgb(23,115,138)"
0x1b018] xmm0,"rgb(132,184,252)"
0x1b018] 0x1000001f,"rgb(195,49,193)"
- 0x1b010],"rgb(76,98,11)"
0x1b010] eax,"rgb(98,250,147)"
- 0x1aff4],"rgb(254,130,20)"
js 0x7dc2,"rgb(226,50,46)"
jae 0x7dc8,"rgb(120,188,140)"
+ ecx*2],"rgb(223,195,233)"
+ eax*4,"rgb(62,144,111)"
eax*4 +,"rgb(50,127,15)"
0xc] 0x80040103,"rgb(104,130,228)"
movq xmm0,"rgb(1,253,247)"
xmm0 qword,"rgb(190,123,21)"
- 0x1b048],"rgb(47,112,222)"
0x1b048] xmm0,"rgb(79,161,217)"
jne 0x8466,"rgb(17,100,114)"
0x1b018] 0x1000001e,"rgb(201,26,94)"
- 0x1acac],"rgb(201,244,21)"
0x1acac] xmm0,"rgb(199,122,51)"
0x1acac] 0,"rgb(158,33,152)"
- 0x1ac9c],"rgb(239,48,129)"
0x1ac9c] xmm0,"rgb(0,174,184)"
- 0x1aca8],"rgb(52,198,209)"
0x1aca8] 0,"rgb(247,223,88)"
- 0x1aca4],"rgb(246,192,54)"
0x1aca4] 0,"rgb(214,90,248)"
- 0x1aca0],"rgb(229,91,68)"
0x1aca0] 0,"rgb(206,14,201)"
0x1ac9c] 0,"rgb(54,86,195)"
- 0x1ac98],"rgb(112,232,12)"
0x1ac98] 0,"rgb(214,243,158)"
4] 0xc,"rgb(109,249,123)"
4] 0xd,"rgb(64,144,56)"
4] 0xe,"rgb(82,37,217)"
je 0x7d5a,"rgb(47,218,29)"
je 0x7d90,"rgb(138,234,88)"
je 0x7dc2,"rgb(127,202,91)"
je 0x7e1d,"rgb(30,184,178)"
push 0x1a,"rgb(164,31,55)"
push 0x414c58,"rgb(98,232,79)"
push 0x414c74,"rgb(21,186,60)"
- 0x1b110],"rgb(118,234,27)"
0x1b040] ecx,"rgb(158,168,195)"
- 0x1b134],"rgb(90,53,61)"
4] 0xf,"rgb(195,229,35)"
- 0x1b12c],"rgb(194,184,27)"
jne 0x7eb8,"rgb(140,85,226)"
jns 0x7ebb,"rgb(76,60,191)"
- 0x1b100],"rgb(17,26,237)"
0x1b100] 0,"rgb(91,179,170)"
je 0x7eed,"rgb(244,47,170)"
- 0x1b108],"rgb(167,218,76)"
0x1b108] 0,"rgb(72,240,80)"
je 0x7f1f,"rgb(118,102,52)"
je 0x81f4,"rgb(170,103,189)"
- 0x1ac64],"rgb(2,116,168)"
0x1ac64] xmm0,"rgb(64,127,175)"
0x1ac64] 0,"rgb(215,79,166)"
- 0x1ac54],"rgb(42,187,39)"
0x1ac54] xmm0,"rgb(115,16,22)"
- 0x1ac60],"rgb(169,158,154)"
0x1ac60] 0,"rgb(122,135,242)"
- 0x1ac5c],"rgb(83,182,115)"
0x1ac5c] 0,"rgb(234,60,229)"
- 0x1ac58],"rgb(248,213,100)"
0x1ac58] 0,"rgb(102,159,97)"
0x1ac54] 0,"rgb(49,59,133)"
- 0x1ac50],"rgb(37,36,59)"
0x1ac50] 0,"rgb(156,90,96)"
4] 0x11,"rgb(24,213,180)"
4] 0x12,"rgb(221,27,45)"
je 0x8190,"rgb(190,11,139)"
- 0x1b008],"rgb(231,216,182)"
0x1b008] xmm0,"rgb(0,221,56)"
0x1b008] 0x37001f,"rgb(116,70,246)"
- 0x1b000],"rgb(210,141,254)"
0x1b000] eax,"rgb(240,248,11)"
- 0x1aff8],"rgb(249,131,71)"
js 0x816b,"rgb(191,240,213)"
jae 0x8171,"rgb(252,123,59)"
jne 0x846c,"rgb(235,155,228)"
0x1b008] 0x37001e,"rgb(243,207,24)"
- 0x1ac7c],"rgb(164,104,48)"
0x1ac7c] xmm0,"rgb(222,137,142)"
0x1ac7c] 0,"rgb(150,75,32)"
- 0x1ac6c],"rgb(242,41,46)"
0x1ac6c] xmm0,"rgb(249,62,202)"
- 0x1ac78],"rgb(173,204,41)"
0x1ac78] 0,"rgb(217,100,160)"
- 0x1ac74],"rgb(222,252,207)"
0x1ac74] 0,"rgb(97,91,103)"
- 0x1ac70],"rgb(190,217,24)"
0x1ac70] 0,"rgb(44,179,98)"
0x1ac6c] 0,"rgb(202,12,168)"
- 0x1ac68],"rgb(127,233,97)"
0x1ac68] 0,"rgb(146,235,55)"
4] 0x14,"rgb(121,182,203)"
4] 0x15,"rgb(195,142,162)"
4] 0x16,"rgb(114,117,140)"
je 0x8103,"rgb(104,72,192)"
je 0x8139,"rgb(229,88,195)"
je 0x816b,"rgb(108,188,38)"
je 0x81c2,"rgb(70,11,227)"
- 0x1accc],"rgb(128,78,68)"
0x1accc] xmm0,"rgb(184,214,122)"
0x1accc] 0,"rgb(193,184,22)"
- 0x1acbc],"rgb(219,140,105)"
